Date,Hour,Minute,DayOfWeek,IsWeekend,Location,Weather,VehicleCount,AverageSpeed,Congestion
2025-11-24,9,0,0,0,Dharampur Chowk,Rain,1048,34.6,Medium
2025-05-06,13,15,1,0,Dharampur Chowk,Clear,911,46.6,Medium
2025-12-13,8,45,5,1,Clock Tower,Clear,1100,38.6,High
2025-02-17,12,15,0,0,Prem Nagar,Clear,613,48.5,Low
2025-10-15,12,45,2,0,Rajpur Road,Fog,430,42.5,Low
2025-10-29,14,0,2,0,Rajpur Road,Fog,680,35.9,Medium
2025-06-24,14,15,1,0,Rajpur Road,Rain,826,32.5,Medium
2025-02-22,8,45,5,1,Clock Tower,Rain,868,35.9,Medium
2025-06-26,14,0,3,0,Dharampur Chowk,Fog,606,39.3,Low
2025-10-02,9,45,3,0,Clock Tower,Rain,1111,29.9,High
2025-11-18,17,15,1,0,Dharampur Chowk,Clear,1313,35.6,High
2025-01-24,13,30,4,0,Clock Tower,Cloudy,1064,35.5,High
2025-02-21,18,30,4,0,Ballupur Chowk,Rain,1173,33.6,High
2025-03-25,17,30,1,0,Rajpur Road,Rain,1031,36.4,Medium
2025-12-26,8,15,4,0,Prem Nagar,Cloudy,975,40.2,Medium
2025-03-25,20,45,1,0,ISBT,Cloudy,694,50.6,Medium
2025-12-17,16,0,2,0,Rajpur Road,Clear,583,43.5,Low
2025-06-11,18,30,2,0,Clock Tower,Cloudy,1540,29.3,High
2025-10-18,16,15,5,1,Dharampur Chowk,Fog,397,35.4,Low
2025-07-22,20,15,1,0,ISBT,Cloudy,635,46.5,Low
2025-05-07,14,45,2,0,Prem Nagar,Fog,657,38.1,Medium
2025-07-05,13,15,5,1,Prem Nagar,Fog,499,39.0,Low
2025-02-16,7,0,6,1,Rajpur Road,Cloudy,403,47.1,Low
2025-12-15,19,0,0,0,Ballupur Chowk,Fog,1044,35.3,Medium
2025-11-02,20,30,6,1,Prem Nagar,Clear,441,43.4,Low
2025-12-15,9,30,0,0,Dharampur Chowk,Rain,1035,34.1,Medium
2025-02-27,15,45,3,0,Rajpur Road,Fog,413,42.9,Low
2025-01-02,14,15,3,0,Prem Nagar,Clear,829,46.0,Medium
2025-11-17,15,15,0,0,Rajpur Road,Rain,459,42.5,Low
2025-03-24,22,0,0,0,Prem Nagar,Rain,465,46.3,Low
2025-09-08,6,0,0,0,ISBT,Rain,597,40.9,Low
2025-05-03,7,15,5,1,Prem Nagar,Clear,325,46.8,Low
2025-02-13,21,0,3,0,Prem Nagar,Cloudy,576,50.8,Low
2025-03-07,21,15,4,0,ISBT,Fog,559,42.0,Low
2025-04-19,12,30,5,1,Ballupur Chowk,Rain,513,40.7,Low
2025-08-13,22,45,2,0,Clock Tower,Cloudy,719,49.3,Medium
2025-04-26,8,30,5,1,Clock Tower,Cloudy,1171,43.0,High
2025-10-29,13,0,2,0,Clock Tower,Clear,799,46.1,Medium
2025-04-28,8,0,0,0,ISBT,Clear,1420,33.8,High
2025-09-21,13,30,6,1,Dharampur Chowk,Fog,591,32.6,Medium
2025-04-20,10,45,6,1,Rajpur Road,Fog,380,42.6,Low
2025-07-28,12,0,0,0,Clock Tower,Fog,644,36.2,Low
2025-07-01,19,45,1,0,Ballupur Chowk,Clear,1287,35.1,High
2025-12-11,9,0,3,0,Ballupur Chowk,Rain,1213,33.7,High
2025-02-25,13,15,1,0,Rajpur Road,Fog,675,38.9,Medium
2025-03-13,19,15,3,0,ISBT,Fog,1214,32.6,High
2025-05-08,8,45,3,0,Prem Nagar,Clear,918,40.9,Medium
2025-01-26,6,0,6,1,Rajpur Road,Cloudy,490,43.6,Low
2025-07-28,21,45,0,0,Rajpur Road,Fog,491,40.8,Low
2025-01-31,11,45,4,0,Clock Tower,Fog,526,38.8,Low
2025-05-16,20,30,4,0,Ballupur Chowk,Fog,393,40.1,Low
2025-03-21,12,30,4,0,Rajpur Road,Clear,557,44.6,Low
2025-10-24,7,30,4,0,Clock Tower,Clear,645,47.0,Low
2025-10-27,21,15,0,0,Clock Tower,Clear,809,44.0,Medium
2025-04-06,8,0,6,1,Dharampur Chowk,Cloudy,1021,40.2,Medium
2025-07-26,9,15,5,1,Prem Nagar,Clear,675,45.3,Medium
2025-11-14,8,45,4,0,Dharampur Chowk,Rain,1013,42.9,Medium
2025-05-14,12,30,2,0,Rajpur Road,Rain,511,43.6,Low
2025-07-22,10,30,1,0,Ballupur Chowk,Rain,567,38.4,Low
2025-02-07,6,45,4,0,Prem Nagar,Clear,578,49.0,Low
2025-02-07,12,30,4,0,Rajpur Road,Rain,589,38.9,Low
2025-02-05,13,30,2,0,ISBT,Cloudy,1250,32.9,High
2025-08-13,15,0,2,0,Dharampur Chowk,Rain,551,48.7,Low
2025-12-06,9,15,5,1,ISBT,Clear,1122,37.3,High
2025-02-24,10,30,0,0,ISBT,Cloudy,750,42.8,Medium
2025-06-25,12,30,2,0,Prem Nagar,Fog,265,43.4,Low
2025-05-09,7,0,4,0,Dharampur Chowk,Fog,363,43.2,Low
2025-05-22,7,0,3,0,ISBT,Cloudy,668,50.1,Medium
2025-11-23,14,15,6,1,Dharampur Chowk,Fog,521,38.6,Low
2025-10-10,19,0,4,0,Clock Tower,Clear,1469,30.3,High
2025-12-20,10,0,5,1,ISBT,Cloudy,649,49.6,Low
2025-08-09,10,0,5,1,ISBT,Rain,412,44.7,Low
2025-01-21,17,15,1,0,Dharampur Chowk,Cloudy,1276,39.1,High
2025-12-08,9,30,0,0,Prem Nagar,Fog,681,33.3,Medium
2025-11-14,10,15,4,0,Rajpur Road,Cloudy,656,46.5,Medium
2025-07-31,6,15,3,0,Dharampur Chowk,Rain,524,43.6,Low
2025-07-30,13,30,2,0,Rajpur Road,Clear,842,43.7,Medium
2025-07-15,7,45,1,0,Rajpur Road,Cloudy,637,43.8,Low
2025-08-24,17,30,6,1,Rajpur Road,Cloudy,1263,38.4,High
2025-01-13,12,45,0,0,ISBT,Rain,540,44.3,Low
2025-02-05,14,30,2,0,Dharampur Chowk,Fog,609,40.7,Low
2025-12-14,16,0,6,1,Clock Tower,Rain,596,39.0,Low
2025-04-02,14,0,2,0,Clock Tower,Fog,884,35.6,Medium
2025-06-26,16,45,3,0,Prem Nagar,Clear,553,52.8,Low
2025-07-17,12,30,3,0,Clock Tower,Fog,506,37.5,Low
2025-01-01,22,15,2,0,ISBT,Fog,494,37.5,Low
2025-02-05,16,30,2,0,Dharampur Chowk,Clear,554,48.1,Low
2025-06-03,22,30,1,0,Dharampur Chowk,Fog,470,42.8,Low
2025-06-17,18,30,1,0,Prem Nagar,Cloudy,1093,43.7,High
2025-04-09,19,45,2,0,Dharampur Chowk,Cloudy,1234,45.5,High
2025-11-12,15,45,2,0,Prem Nagar,Clear,537,44.8,Low
2025-06-05,15,15,3,0,Ballupur Chowk,Rain,484,44.5,Low
2025-08-27,20,45,2,0,Dharampur Chowk,Cloudy,570,49.0,Low
2025-09-19,21,15,4,0,Dharampur Chowk,Clear,598,46.2,Low
2025-05-26,22,30,0,0,Clock Tower,Cloudy,623,41.6,Low
2025-12-11,15,15,3,0,Rajpur Road,Cloudy,578,49.3,Low
2025-01-13,7,15,0,0,Ballupur Chowk,Clear,650,42.0,Medium
2025-08-22,19,15,4,0,Dharampur Chowk,Fog,970,34.3,Medium
2025-09-11,18,15,3,0,Rajpur Road,Clear,1177,38.6,High
2025-02-24,19,15,0,0,Rajpur Road,Fog,1003,29.2,Medium
2025-01-26,13,0,6,1,Ballupur Chowk,Cloudy,895,43.9,Medium
2025-08-26,22,30,1,0,Ballupur Chowk,Fog,593,41.7,Low
2025-10-08,20,15,2,0,Dharampur Chowk,Fog,338,39.4,Low
2025-08-19,14,15,1,0,Dharampur Chowk,Rain,814,39.9,Medium
2025-09-24,21,15,2,0,ISBT,Fog,606,49.9,Low
2025-02-09,15,15,6,1,ISBT,Rain,586,45.0,Low
2025-06-13,8,15,4,0,Rajpur Road,Cloudy,1304,38.3,High
2025-07-16,10,15,2,0,Clock Tower,Fog,501,42.1,Low
2025-07-28,16,45,0,0,Ballupur Chowk,Clear,571,46.1,Low
2025-04-16,19,45,2,0,Prem Nagar,Clear,1001,40.9,Medium
2025-10-22,18,45,2,0,Clock Tower,Rain,1448,23.7,High
2025-06-02,18,45,0,0,Prem Nagar,Cloudy,1146,33.8,High
2025-09-07,13,30,6,1,Ballupur Chowk,Fog,623,41.4,Low
2025-01-15,18,30,2,0,Dharampur Chowk,Fog,961,30.0,Medium
2025-03-26,20,15,2,0,Prem Nagar,Clear,430,50.9,Low
2025-07-21,6,0,0,0,Dharampur Chowk,Fog,390,42.1,Low
2025-03-11,20,15,1,0,Clock Tower,Rain,595,39.5,Low
2025-07-14,16,15,0,0,Ballupur Chowk,Rain,741,41.3,Medium
2025-06-22,18,30,6,1,Ballupur Chowk,Rain,872,38.1,Medium
2025-02-11,21,0,1,0,Dharampur Chowk,Clear,507,50.3,Low
2025-06-29,13,0,6,1,Dharampur Chowk,Clear,667,45.1,Medium
2025-01-16,13,15,3,0,Clock Tower,Cloudy,1099,41.9,High
2025-05-03,10,45,5,1,Dharampur Chowk,Clear,380,48.6,Low
2025-10-16,12,45,3,0,Dharampur Chowk,Rain,466,41.4,Low
2025-07-08,11,0,1,0,Rajpur Road,Rain,667,41.7,Medium
2025-02-25,6,30,1,0,Prem Nagar,Fog,289,45.6,Low
